Wall time,Step,Value
1587576120.335741,1000,-1168.4825439453125
1587576167.1985626,21000,-1044.2747802734375
1587576214.547587,41000,-977.8502807617188
1587576258.6995866,61000,-887.4296875
1587576307.1387713,81000,-828.41064453125
1587576354.9716976,101000,-727.9424438476562
1587576401.8748124,121000,-643.2128295898438
1587576449.3467765,141000,-572.5924072265625
1587576496.5129113,161000,-480.14825439453125
1587576542.6946611,181000,-369.97979736328125
1587576591.7405274,201000,-305.77838134765625
1587576638.4584484,221000,-156.54029846191406
1587576686.182809,241000,-80.41194915771484
1587576733.5432117,261000,111.31449127197266
1587576779.282898,281000,233.20370483398438
1587576826.5310957,301000,333.0035400390625
1587576874.820704,321000,267.7183837890625
1587576922.9178078,341000,425.5868225097656
1587576970.0269856,361000,560.2359619140625
1587577015.814897,381000,616.2870483398438
1587577061.2163827,401000,699.0027465820312
1587577108.7154353,421000,697.685546875
1587577155.761082,441000,709.1749877929688
1587577201.804488,461000,716.889892578125
1587577248.8890197,481000,782.7261352539062
1587577296.6476314,501000,733.7583618164062
1587577343.5039294,521000,813.388916015625
1587577391.215708,541000,891.8516235351562
1587577436.1130295,561000,554.4139404296875
1587577482.9878736,581000,706.7205810546875
1587577526.9970798,601000,875.1981201171875
1587577574.7669897,621000,926.53125
1587577621.5598154,641000,857.3096923828125
1587577666.7328327,661000,942.6467895507812
1587577711.6574242,681000,1007.9303588867188
1587577760.4026787,701000,1045.6895751953125
1587577807.7448192,721000,718.9000244140625
1587577852.5722113,741000,870.5255126953125
1587577900.928791,761000,910.8011474609375
1587577948.3314228,781000,933.246826171875
1587577995.9764485,801000,851.1300048828125
1587578043.7826765,821000,867.0361328125
1587578091.0697021,841000,916.0431518554688
1587578140.359859,861000,999.0025024414062
1587578187.7232816,881000,921.3594970703125
1587578234.6723754,901000,985.24560546875
1587578280.7087417,921000,991.9437255859375
1587578328.5465648,941000,936.1980590820312
1587578374.703561,961000,903.9739990234375
1587578418.6573,981000,1036.113037109375
1587578464.8679602,1001000,895.7610473632812
1587578470.538781,1001000,895.7610473632812
