Wall time,Step,Value
1584787150.8377776,0,319.3704528808594
1584787196.3973053,20,1012.7896118164062
1584787237.5922294,40,1007.136474609375
1584787284.5679364,60,970.0046997070312
1584787332.6244004,80,946.6718139648438
1584787382.678645,100,913.5419311523438
1584787421.0988579,120,899.1126708984375
1584787455.4412127,140,84.84241485595703
1584787506.5858788,160,839.4939575195312
1584787550.503656,180,721.894287109375
1584787607.9630675,200,52.45827865600586
1584787661.0578349,220,752.4682006835938
1584787708.2216084,240,772.8391723632812
1584787746.1322925,260,766.9976806640625
1584787809.508298,280,75.90125274658203
1584787867.346259,300,768.5889282226562
1584787908.050938,320,738.1574096679688
1584787960.6820896,340,715.8133544921875
1584787995.0476766,360,58.409645080566406
1584788040.0104785,380,735.8877563476562
1584788081.5231628,400,722.6864624023438
1584788127.4859238,420,716.3877563476562
1584788178.2344928,440,671.0371704101562
1584788234.3966153,460,23.90582847595215
1584788287.9054804,480,581.610107421875
1584788336.4564288,500,297.1455383300781
1584788390.5890472,520,592.5704956054688
1584788443.8413897,540,562.5916748046875
1584788485.540218,560,42.65857696533203
1584788523.24583,580,508.85235595703125
1584788560.463883,600,507.9237976074219
1584788606.229275,620,403.29022216796875
1584788645.1449459,640,238.75120544433594
1584788683.116195,660,32.28831100463867
1584788732.1431274,680,440.9258117675781
1584788773.0575979,700,352.1948547363281
1584788815.7841203,720,96.3702621459961
1584788865.1749475,740,232.42723083496094
1584788911.276183,760,216.10211181640625
1584788957.0596325,780,40.408634185791016
1584789002.182601,800,448.870361328125
1584789049.9330442,820,428.0577087402344
1584789097.0242913,840,223.30563354492188
1584789106.503045,845,199.0439453125
