Wall time,Step,Value
1584733306.2874606,1026,9.921089172363281
1584733347.9762077,21833,145.52066040039062
1584733388.7716444,43130,266.3604431152344
1584733433.746969,66418,455.9004821777344
1584733478.7671552,88037,449.83740234375
1584733522.669614,111104,631.8385009765625
1584733571.319668,135088,641.2510986328125
1584733624.5662792,158251,827.2090454101562
1584733676.7039492,182608,878.5501708984375
1584733723.5064898,205181,604.8242797851562
1584733768.1990087,227543,659.7119140625
1584733818.7061622,251705,818.7437133789062
1584733869.1537986,274741,759.941162109375
1584733920.6656783,298704,1141.4945068359375
1584733963.079995,322236,1034.4215087890625
1584734019.819174,346569,1002.9069213867188
1584734066.805347,371411,1108.0108642578125
1584734108.8918626,395069,1109.17138671875
1584734152.0600696,419154,1195.2462158203125
1584734200.3976932,444133,1238.9095458984375
1584734265.8672304,470565,1500.469970703125
1584734307.5437407,495350,2099.555908203125
1584734357.6440272,522155,1821.173095703125
1584734397.9390244,545657,2024.353515625
1584734457.3431737,570972,2398.44970703125
1584734496.411075,596651,1851.4874267578125
1584734557.5022695,624490,1709.8939208984375
1584734606.953696,648913,2488.094482421875
1584734642.6252186,672497,1536.3349609375
1584734671.5393877,696036,1447.2667236328125
1584734706.2040348,721976,1894.0201416015625
1584734744.5610209,746730,1943.8045654296875
1584734786.2722747,772496,1619.6312255859375
1584734822.9675288,796318,920.4434814453125
1584734870.8876421,822745,1183.9075927734375
1584734904.4202814,847076,1185.04052734375
1584734946.132022,871990,1085.080810546875
1584734977.5595064,897423,1388.542724609375
1584735012.3644078,924498,1932.3167724609375
1584735059.3851464,951003,2184.22216796875
1584735093.3366375,974057,2517.948486328125
1584735118.3317373,997080,2617.6650390625
1584735121.4675236,1000080,2667.176513671875
